full pathogen name,similarity value,used tools,coverage ratio,Length of that exact read,quality of read
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,262,22.13
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,262,22.13
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,204,19.23
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,204,19.23
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,243,22.42
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,243,22.42
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,220,15.56
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,220,15.56
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.31,162,23.24
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,162,23.24
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.31,162,23.24
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,162,23.24
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.20,191,16.72
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.20,191,16.72
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.28,177,20.37
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.28,177,20.37
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,173,15.84
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,173,15.84
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.32,154,19.86
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.32,154,19.86
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.33,116,16.78
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.33,116,16.78
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.33,153,18.48
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.33,153,18.48
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.11,465,32.91
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.11,465,32.91
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.30,156,15.13
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.30,156,15.13
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.24,201,21.78
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,201,21.78
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.24,201,21.78
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,201,21.78
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.34,145,17.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.34,145,17.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.20,205,18.26
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.20,205,18.26
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.35,106,17.10
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.35,106,17.10
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.34,108,18.33
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.34,108,18.33
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.12,400,25.80
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.12,400,25.80
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.40,99,17.56
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.40,99,17.56
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.36,105,16.08
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.36,105,16.08
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.11,455,33.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.11,455,33.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.11,455,33.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.11,455,33.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.29,174,23.35
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.29,174,23.35
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.32,114,13.68
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.32,114,13.68
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.16,322,17.36
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.16,322,17.36
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,197,14.37
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,197,14.37
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.29,137,13.82
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.29,137,13.82
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.35,107,21.30
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.35,107,21.30
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.24,206,20.27
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.24,206,20.27
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,201,20.48
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,201,20.48
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,208,16.31
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,208,16.31
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.31,118,14.91
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.31,118,14.91
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.37,103,16.96
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.37,103,16.96
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.22,223,25.18
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.22,223,25.18
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.92,BLASTN,0.17,277,19.70
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.92,BLASTN,0.17,277,19.70
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.92,BLASTN,0.23,213,17.59
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.92,BLASTN,0.23,213,17.59
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.92,BLASTN,0.20,243,17.90
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.92,BLASTN,0.20,243,17.90
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.67,BLASTN,0.16,277,21.01
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.67,BLASTN,0.16,277,21.01
