full pathogen name,similarity value,used tools,coverage ratio,Length of that exact read,quality of read
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.27,186,17.51
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.27,186,17.51
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.20,247,19.20
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.20,247,19.20
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.28,178,18.97
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.28,178,18.97
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,265,24.77
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,265,24.77
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.22,232,24.16
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.22,232,24.16
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.22,226,15.13
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.22,226,15.13
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.24,212,18.28
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.24,212,18.28
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.05,973,28.57
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.05,973,28.57
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.30,132,19.16
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.30,132,19.16
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.15,328,29.63
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.15,328,29.63
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.34,147,19.22
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.34,147,19.22
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.33,150,19.93
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.33,150,19.93
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.24,200,23.41
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.24,200,23.41
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.27,182,15.10
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.27,182,15.10
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.21,242,19.11
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.21,242,19.11
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,158,19.19
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,158,19.19
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.26,192,13.65
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.26,192,13.65
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.38,104,15.95
